

| Ranking | País               | Residuos Generados (kg) | Reciclaje (kg) | Reciclado / Generado (%) | Reciclado Estandarizado (%) | Puntaje Final |
|---------|--------------------|-------------------------|----------------|--------------------------|-----------------------------|---------------|
| 1       | Corea del Sur      | 400                     | 243            | 60.8                     | 100.0                       | 100.0         |
| 2       | Dinamarca          | 845                     | 300            | 35.6                     | 58.8                        | 94.9          |
| 3       | Alemania           | 632                     | 302            | 47.8                     | 79.1                        | 90.4          |
| 4       | Suiza              | 706                     | 210            | 29.8                     | 47.6                        | 89.3          |
| 5       | Finlandia          | 596                     | 168            | 28.2                     | 45.7                        | 89.3          |
| 6       | Noruega            | 726                     | 256            | 35.3                     | 58.2                        | 88.5          |
| 7       | Japón              | 336                     | 66             | 19.6                     | 32.2                        | 86.9          |
| 8       | Países Bajos       | 535                     | 148            | 27.7                     | 45.0                        | 86.5          |
| 9       | Suecia             | 431                     | 87             | 20.2                     | 33.1                        | 84.8          |
| 10      | Luxemburgo         | 790                     | 232            | 29.4                     | 47.4                        | 83.5          |
| 11      | Bélgica            | 416                     | 147            | 35.3                     | 58.1                        | 83.1          |
| 12      | Irlanda            | 598                     | 175            | 29.3                     | 47.3                        | 79.7          |
| 13      | Polonia            | 346                     | 92             | 26.6                     | 43.5                        | 79.5          |
| 14      | Francia            | 537                     | 121            | 22.5                     | 36.8                        | 78.9          |
| 15      | Hungría            | 364                     | 81             | 22.3                     | 36.6                        | 75.1          |
| 16      | Lituania           | 472                     | 130            | 27.5                     | 44.9                        | 74.5          |
| 17      | Austria            | 588                     | 154            | 26.2                     | 42.8                        | 74.2          |
| 18      | Reino Unido        | 463                     | 126            | 27.2                     | 44.5                        | 73.4          |
| 19      | Australia          | 559                     | 150            | 26.8                     | 43.8                        | 72.9          |
| 20      | República Checa    | 499                     | 110            | 22.0                     | 36.0                        | 71.0          |
| 21      | Eslovenia          | 487                     | 219            | 45.0                     | 72.1                        | 69.7          |
| 22      | Colombia           | 243                     | 39             | 16.0                     | 26.2                        | 69.6          |
| 23      | España             | 455                     | 86             | 18.9                     | 30.8                        | 69.3          |
| 24      | Portugal           | 513                     | 65             | 12.7                     | 20.8                        | 64.6          |
| 25      | Estados Unidos     | 811                     | 190            | 23.4                     | 38.4                        | 60.2          |
| 26      | Costa Rica         | 266                     | 8              | 3.0                      | 4.9                         | 60.0          |
| 27      | República Eslovaca | 433                     | 124            | 28.6                     | 46.9                        | 59.8          |
| 28      | Grecia             | 524                     | 84             | 16.0                     | 26.2                        | 57.9          |
| 29      | Nueva Zelanda      | 781                     | 255            | 32.7                     | 53.6                        | 54.8          |
| 30      | Islandia           | 702                     | 117            | 16.7                     | 27.4                        | 54.0          |
| 31      | Canadá             | 706                     | 183            | 25.9                     | 42.3                        | 53.3          |
| 32      | Estonia            | 369                     | 104            | 28.2                     | 46.0                        | 46.3          |
| 33      | Israel             | 680                     | 43             | 6.3                      | 10.3                        | 42.6          |
| 34      | Italia             | 503                     | 151            | 30.0                     | 49.2                        | 36.6          |
| 35      | México             | 359                     | 13             | 3.6                      | 5.9                         | 35

.4          |
| 36      | Chile              | 437                     | 2              | 0.5                      | 0.8                         | 23.3          |
| 37      | Letonia            | 478                     | 155            | 32.4                     | 53.1                        | 18.5          |
| 38      | Turquía            | 424                     | 47             | 11.0                     | 18.0                        | 0.0           |

